Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Kerry, R., Goovaerts, P., Ingram, B., Tereault, C.",16836434900;7003923744;24398710900;57212766588;,Spatial Analysis of Lung Cancer Mortality in the American West to Improve Allocation of Medical Resources,2020,Applied Spatial Analysis and Policy,13,4,,823,850,,1,10.1007/s12061-019-09331-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077367887&doi=10.1007%2fs12061-019-09331-5&partnerID=40&md5=56ea1ab78d8d5c1edaccc0ddf8eeeaf1,Article,Final,,Scopus,2-s2.0-85077367887
"Carter, J., Louderback, E.R., Vildosola, D., Sen Roy, S.",56482633200;57194271147;57209835404;7404587604;,"Crime in an Affluent City: Spatial Patterns of Property Crime in Coral Gables, Florida",2020,European Journal on Criminal Policy and Research,26,4,,547,570,,3,10.1007/s10610-019-09415-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068826604&doi=10.1007%2fs10610-019-09415-5&partnerID=40&md5=3a4c56a201ebf9333e584c121c0373d2,Article,Final,,Scopus,2-s2.0-85068826604
"Oluwajana, S.D., Takyi, E.A., Park, P.Y.",57202679565;57202682875;14042258300;,Determination of overlapping crime and collision hotzones for focused law enforcement,2020,Journal of Transportation Safety and Security,12,10,,1231,1251,,3,10.1080/19439962.2019.1580327,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063146947&doi=10.1080%2f19439962.2019.1580327&partnerID=40&md5=6567b4ec367e35d4baba207c11629df4,Article,Final,,Scopus,2-s2.0-85063146947
"Alceu, F., Gusmao, L., Akassaka, D., Helito, H.",57221976210;57221979930;57221976705;57221983824;,A CPFL energia fraud detection model based on geographic census sectors analysis,2020,"2020 IEEE Electric Power and Energy Conference, EPEC 2020",,,9320023,,,,,10.1109/EPEC48502.2020.9320023,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100850462&doi=10.1109%2fEPEC48502.2020.9320023&partnerID=40&md5=c137be941b94eea27501ac47602527ce,Conference Paper,Final,,Scopus,2-s2.0-85100850462
"Weng, J., He, H., Wang, Y., Zhang, K.",8887037900;57210324940;57221615735;57221087485;,Influence model of regional taxi travel demand based on Geographical weighted regression,2020,"2020 Forum on Integrated and Sustainable Transportation Systems, FISTS 2020",,,9264857,198,204,,,10.1109/FISTS46898.2020.9264857,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099562764&doi=10.1109%2fFISTS46898.2020.9264857&partnerID=40&md5=a45f1eaa66b0c7d8821eb42df8ab93b7,Conference Paper,Final,,Scopus,2-s2.0-85099562764
"Kopeć, A., Trybała, P., Głąbicki, D., Buczyńska, A., Owczarz, K., Bugajska, N., Kozińska, P., Chojwa, M., Gattner, A.",57200614892;57219903554;57216177741;57205218901;57204210930;57219902766;57219902694;57219906930;57219902752;,"Application of remote sensing, gis and machine learning with geographically weighted regression in assessing the impact of hard coal mining on the natural environment",2020,Sustainability (Switzerland),12,22,9338,1,26,,5,10.3390/su12229338,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096026079&doi=10.3390%2fsu12229338&partnerID=40&md5=1c2147b2c164ce97d9303e4f8d8b5371,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85096026079
"Liu, T., Zhang, H., Shi, T.",57188711480;8705063100;55349704100;,Modeling and predictive mapping of soil organic carbon density in a small-scale area using geographically weighted regression kriging approach,2020,Sustainability (Switzerland),12,22,9330,1,12,,,10.3390/su12229330,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095985027&doi=10.3390%2fsu12229330&partnerID=40&md5=20d89e727fbe673dd751d8f2da75ef65,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85095985027
"Shao, Q., Zhou, Y., Zhu, P.",54883147700;57216897340;57216902229;,Spatiotemporal analysis of environmental factors on the birdstrike risk in high plateau airport with multi-scale research,2020,Sustainability (Switzerland),12,22,9357,1,18,,,10.3390/su12229357,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095954243&doi=10.3390%2fsu12229357&partnerID=40&md5=e2ad243b1cf9b13bf17a7cef88325f20,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85095954243
"Wang, D., Chai, Z., Yang, Y., Qiu, A., Kang, X., Han, J.",57211679257;57226713029;57188706864;24764961200;36625486300;57226704736;,A cuda-based parallel geographically weighted regression for large-scale geographic data,2020,ISPRS International Journal of Geo-Information,9,11,653,,,,1,10.3390/ijgi9110653,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106519370&doi=10.3390%2fijgi9110653&partnerID=40&md5=02a24c6f1aa2887826cba142fa2d9098,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85106519370
"Evans, F.H., Salas, A.R., Rakshit, S., Scanlan, C.A., Cook, S.E.",35876107100;57225072288;57193350564;35604358800;28067722600;,Assessment of the use of geographically weighted regression for analysis of large on-farm experiments and implications for practical application,2020,Agronomy,10,11,1720,,,,2,10.3390/agronomy10111720,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102208077&doi=10.3390%2fagronomy10111720&partnerID=40&md5=1626bb26e067925c4a9a2de093e77145,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85102208077
"Shengjin Xie, Liu, Y., Yao, F.",57221207909;41261836400;57216485620;,"Spatial Downscaling of TRMM Precipitation Using an Optimal Regression Model with NDVI in Inner Mongolia, China",2020,Water Resources,47,6,,1054,1064,,,10.1134/S0097807820060123,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098524051&doi=10.1134%2fS0097807820060123&partnerID=40&md5=0b93b1ccaeef5aa67fa6fe60727ae183,Article,Final,,Scopus,2-s2.0-85098524051
